Strain_vM	Stress_vM
1.4802973661668748e-16	2.422336184353936e-05
0.00456097233402156	109798830.93043162
0.010619712355724967	112112322.46002686
0.016791684166577572	113684305.53519809
0.02302578402275764	115040386.94758627
0.029313093175353737	116330487.27323972
0.03565191922858531	117631517.08325954
0.04204217150579463	118971262.02380854
0.04847954605121608	120369254.20445383
0.054963644282647675	121857879.73606889
0.06149357731281017	123428846.95492697
0.06807279051648459	125037801.56056166
0.07471966907449176	126608384.68832275
