Strain_vM	Stress_vM
2.9605947323337526e-16	1.234945421809086e-05
0.005269813650838335	104370680.41863205
0.011453814803995327	106533362.42719734
0.017725666589131852	107930714.62782262
0.024078314559934963	109179348.71390162
0.030515370526476834	110438538.56569706
0.037025171173513526	111809042.70993304
0.043589845677318335	113241422.30223544
0.050216951743359876	114563373.36209922
0.05693739352320339	115751091.17581792
0.06378592916566082	116945207.2844644
0.07079889206295853	118272891.62080787
0.07801347983480815	119803213.31287009
