Strain_vM	Stress_vM
2.251074338154752e-16	1.4445484260663609e-05
0.009824390225500476	93757665.71728139
0.020602921584025508	97603066.54834495
0.031068233742427735	99770180.15157945
0.041288189793104	101495273.58567981
0.051324880648733584	103045412.08204742
0.061240194369063805	104504648.79023166
0.07108925349430578	105928786.0689313
0.08091347825171707	107361137.0257131
0.0907537195799027	108795112.91685905
0.10064254247784425	110223588.496135
0.11060151131789055	111652166.35577537
0.1206493572943208	113061396.6034606
