# inc   q0   q1   q2   q3
     0  7.84543983e-01 -1.25579030e-01 -6.07181102e-01  7.19410003e-03
    10  7.83346626e-01 -1.25060769e-01 -6.08837956e-01  6.64910451e-03
    20  7.81986418e-01 -1.24316554e-01 -6.10743751e-01  5.89122571e-03
    30  7.80587790e-01 -1.23534531e-01 -6.12695949e-01  5.05923345e-03
    40  7.79142171e-01 -1.22709760e-01 -6.14705184e-01  4.16278407e-03
    50  7.77667320e-01 -1.21834951e-01 -6.16748979e-01  3.23742379e-03
    60  7.76196741e-01 -1.20882564e-01 -6.18789685e-01  2.31331573e-03
    70  7.74737263e-01 -1.19833116e-01 -6.20822232e-01  1.39772376e-03
    80  7.73301759e-01 -1.18686624e-01 -6.22830343e-01  4.88609251e-04
    90  7.71918049e-01 -1.17483208e-01 -6.24772000e-01 -4.11989868e-04
   100  7.70572133e-01 -1.16264654e-01 -6.26657369e-01 -1.28861867e-03
   110  7.69253326e-01 -1.15057843e-01 -6.28495466e-01 -2.11243607e-03
   120  7.67967529e-01 -1.13870339e-01 -6.30278706e-01 -2.85903826e-03
