# inc   q0   q1   q2   q3
     0  5.11128580e-01  4.27886600e-02  8.18142649e-01  2.59921740e-01
    10  5.10958243e-01  4.37781852e-02  8.17929486e-01  2.60761384e-01
    20  5.11006447e-01  4.50315855e-02  8.17439162e-01  2.61988136e-01
    30  5.10979660e-01  4.62522395e-02  8.17008134e-01  2.63169578e-01
    40  5.10904145e-01  4.74271029e-02  8.16615541e-01  2.64323067e-01
    50  5.10782750e-01  4.85557510e-02  8.16256558e-01  2.65459136e-01
    60  5.10609073e-01  4.96412244e-02  8.15934341e-01  2.66580709e-01
    70  5.10374138e-01  5.06870061e-02  8.15654930e-01  2.67686576e-01
    80  5.10068373e-01  5.16913004e-02  8.15426080e-01  2.68772343e-01
    90  5.09681721e-01  5.26446718e-02  8.15256476e-01  2.69833206e-01
   100  5.09206860e-01  5.35361607e-02  8.15150048e-01  2.70873870e-01
   110  5.08646689e-01  5.43656577e-02  8.15097747e-01  2.71916502e-01
   120  5.08006101e-01  5.51349968e-02  8.15095212e-01  2.72964704e-01
