# inc   q0   q1   q2   q3
     0  5.14611278e-01  5.29467218e-01  6.61078638e-01  1.33471840e-01
    10  5.14202434e-01  5.29610574e-01  6.61527091e-01  1.32251297e-01
    20  5.13461862e-01  5.29910703e-01  6.62190928e-01  1.30593790e-01
    30  5.12633503e-01  5.30274298e-01  6.62865066e-01  1.28941712e-01
    40  5.11772887e-01  5.30668935e-01  6.63531363e-01  1.27299345e-01
    50  5.10901620e-01  5.31075065e-01  6.64187637e-01  1.25672560e-01
    60  5.10037006e-01  5.31471708e-01  6.64836557e-01  1.24066225e-01
    70  5.09201552e-01  5.31837014e-01  6.65478001e-01  1.22483466e-01
    80  5.08417284e-01  5.32155723e-01  6.66106954e-01  1.20928397e-01
    90  5.07697636e-01  5.32423067e-01  6.66717331e-01  1.19401797e-01
   100  5.07044402e-01  5.32644979e-01  6.67303964e-01  1.17901318e-01
   110  5.06448978e-01  5.32842118e-01  6.67858224e-01  1.16422085e-01
   120  5.05894065e-01  5.33032840e-01  6.68383174e-01  1.14939635e-01
