# inc   q0   q1   q2   q3
     0  7.90506767e-01  1.27501420e-01  3.28431349e-01  5.00974338e-01
    10  7.89235681e-01  1.27012042e-01  3.32397998e-01  5.00486316e-01
    20  7.87437066e-01  1.26869704e-01  3.37233342e-01  5.00120604e-01
    30  7.85686132e-01  1.26550117e-01  3.41879515e-01  4.99800727e-01
    40  7.84002882e-01  1.26096605e-01  3.46379874e-01  4.99459819e-01
    50  7.82398492e-01  1.25530294e-01  3.50744969e-01  4.99071850e-01
    60  7.80883832e-01  1.24847365e-01  3.54960711e-01  4.98634605e-01
    70  7.79458514e-01  1.24047075e-01  3.59018161e-01  4.98159320e-01
    80  7.78114648e-01  1.23135684e-01  3.62916594e-01  4.97661274e-01
    90  7.76827580e-01  1.22127178e-01  3.66672607e-01  4.97167037e-01
   100  7.75573089e-01  1.21024089e-01  3.70299528e-01  4.96706970e-01
   110  7.74344648e-01  1.19820513e-01  3.73799143e-01  4.96293876e-01
   120  7.73143972e-01  1.18515293e-01  3.77175279e-01  4.95924725e-01
