# inc   q0   q1   q2   q3
     0  2.97024120e-01  4.81904590e-01  2.51128750e-01  7.85161760e-01
    10  2.97565519e-01  4.80543752e-01  2.48699654e-01  7.86562741e-01
    20  2.98094582e-01  4.78834572e-01  2.45662208e-01  7.88357249e-01
    30  2.98560399e-01  4.77217534e-01  2.42678808e-01  7.90083609e-01
    40  2.98979413e-01  4.75701365e-01  2.39745757e-01  7.91733222e-01
    50  2.99360067e-01  4.74277746e-01  2.36864117e-01  7.93309246e-01
    60  2.99707459e-01  4.72940637e-01  2.34041479e-01  7.94812669e-01
    70  3.00027097e-01  4.71686771e-01  2.31284606e-01  7.96242904e-01
    80  3.00324030e-01  4.70515258e-01  2.28595454e-01  7.97599516e-01
    90  3.00601782e-01  4.69425308e-01  2.25975730e-01  7.98882606e-01
   100  3.00863132e-01  4.68410627e-01  2.23427500e-01  8.00095627e-01
   110  3.01112405e-01  4.67456797e-01  2.20947078e-01  8.01247684e-01
   120  3.01353682e-01  4.66546472e-01  2.18531894e-01  8.02349151e-01
