# inc   q0   q1   q2   q3
     0  4.17109138e-01 -4.07606998e-03 -6.81731627e-01 -6.01036888e-01
    10  4.17086150e-01 -2.47076769e-03 -6.81825387e-01 -6.00955223e-01
    20  4.17107068e-01 -6.60074535e-04 -6.81891207e-01 -6.00870735e-01
    30  4.17146184e-01  1.09347107e-03 -6.81944560e-01 -6.00782392e-01
    40  4.17212957e-01  2.80227275e-03 -6.81971174e-01 -6.00700269e-01
    50  4.17311464e-01  4.47680170e-03 -6.81965342e-01 -6.00628315e-01
    60  4.17447336e-01  6.11806856e-03 -6.81919735e-01 -6.00571199e-01
    70  4.17624395e-01  7.72740304e-03 -6.81831614e-01 -6.00529601e-01
    80  4.17841626e-01  9.31043336e-03 -6.81705604e-01 -6.00499093e-01
    90  4.18091981e-01  1.08752792e-02 -6.81552981e-01 -6.00471780e-01
   100  4.18366731e-01  1.24286538e-02 -6.81384542e-01 -6.00441432e-01
   110  4.18657066e-01  1.39795041e-02 -6.81208295e-01 -6.00404941e-01
   120  4.18958061e-01  1.55345824e-02 -6.81027329e-01 -6.00362055e-01
