# inc   q0   q1   q2   q3
     0  8.75706299e-02  5.23320379e-01  6.64179599e-01  5.26623799e-01
    10  8.78556992e-02  5.25594527e-01  6.64692965e-01  5.23655451e-01
    20  8.82418991e-02  5.28192757e-01  6.65400233e-01  5.20065678e-01
    30  8.85108680e-02  5.30677269e-01  6.66086342e-01  5.16600859e-01
    40  8.87221428e-02  5.33124500e-01  6.66705074e-01  5.13235807e-01
    50  8.89120675e-02  5.35526657e-01  6.67242615e-01  5.09993271e-01
    60  8.90792235e-02  5.37871800e-01  6.67686451e-01  5.06905930e-01
    70  8.91780997e-02  5.40175527e-01  6.68008323e-01  5.04006496e-01
    80  8.91603360e-02  5.42462637e-01  6.68187724e-01  5.01308176e-01
    90  8.90011009e-02  5.44739771e-01  6.68227846e-01  4.98807509e-01
   100  8.87063961e-02  5.47000540e-01  6.68144537e-01  4.96492158e-01
   110  8.83054436e-02  5.49227284e-01  6.67965243e-01  4.94341960e-01
   120  8.78293531e-02  5.51390579e-01  6.67722200e-01  4.92342866e-01
