# inc   q0   q1   q2   q3
     0  7.40470001e-03  2.34593660e-01  2.31127720e-01  9.44187991e-01
    10  7.74796381e-03  2.34891932e-01  2.31925299e-01  9.43915465e-01
    20  8.16795184e-03  2.35645457e-01  2.32861473e-01  9.43493528e-01
    30  8.59152724e-03  2.36534628e-01  2.33755322e-01  9.43046131e-01
    40  8.99937481e-03  2.37516305e-01  2.34623952e-01  9.42579767e-01
    50  9.38753410e-03  2.38572822e-01  2.35478248e-01  9.42096002e-01
    60  9.76133212e-03  2.39691125e-01  2.36331960e-01  9.41594438e-01
    70  1.01264108e-02  2.40860879e-01  2.37196381e-01  9.41074582e-01
    80  1.04836642e-02  2.42070321e-01  2.38080641e-01  9.40536900e-01
    90  1.08291492e-02  2.43309754e-01  2.38991216e-01  9.39982070e-01
   100  1.11559708e-02  2.44575259e-01  2.39928122e-01  9.39410977e-01
   110  1.14583918e-02  2.45860193e-01  2.40891249e-01  9.38825264e-01
   120  1.17342160e-02  2.47156622e-01  2.41884926e-01  9.38225770e-01
