# inc   q0   q1   q2   q3
     0  6.30294478e-01  7.98635397e-02  1.48068989e-01  7.57909137e-01
    10  6.30335985e-01  7.92307062e-02  1.47585200e-01  7.58035388e-01
    20  6.30435461e-01  7.84355942e-02  1.46986208e-01  7.58151727e-01
    30  6.30531879e-01  7.75910355e-02  1.46402914e-01  7.58271302e-01
    40  6.30623808e-01  7.67115987e-02  1.45836397e-01  7.58393492e-01
    50  6.30709597e-01  7.58079086e-02  1.45296330e-01  7.58516672e-01
    60  6.30785388e-01  7.48915048e-02  1.44791741e-01  7.58641160e-01
    70  6.30847383e-01  7.39729456e-02  1.44325870e-01  7.58768493e-01
    80  6.30892040e-01  7.30595827e-02  1.43897608e-01  7.58901186e-01
    90  6.30916143e-01  7.21539148e-02  1.43504473e-01  7.59042225e-01
   100  6.30916478e-01  7.12532961e-02  1.43146936e-01  7.59194521e-01
   110  6.30889276e-01  7.03455233e-02  1.42824051e-01  7.59362574e-01
   120  6.30832713e-01  6.94164733e-02  1.42529406e-01  7.59550400e-01
