# inc   q0   q1   q2   q3
     0  4.17109138e-01 -4.07606998e-03 -6.81731627e-01 -6.01036888e-01
    10  4.14373412e-01 -3.07762573e-03 -6.85278000e-01 -5.98898377e-01
    20  4.11284672e-01 -1.71663970e-03 -6.88873035e-01 -5.96905281e-01
    30  4.08187524e-01 -3.37033588e-04 -6.92358207e-01 -5.94998272e-01
    40  4.05085928e-01  1.05566273e-03 -6.95722159e-01 -5.93190487e-01
    50  4.01963853e-01  2.43830539e-03 -6.98948801e-01 -5.91514742e-01
    60  3.98812533e-01  3.79241797e-03 -7.02031670e-01 -5.89987894e-01
    70  3.95647522e-01  5.10267982e-03 -7.04968202e-01 -5.88605840e-01
    80  3.92483837e-01  6.35143758e-03 -7.07752690e-01 -5.87368901e-01
    90  3.89324532e-01  7.52621263e-03 -7.10382917e-01 -5.86281396e-01
   100  3.86168907e-01  8.61850854e-03 -7.12860290e-01 -5.85345628e-01
   110  3.83018793e-01  9.61953561e-03 -7.15186300e-01 -5.84561908e-01
   120  3.79883758e-01  1.05287180e-02 -7.17368519e-01 -5.83917703e-01
