# inc   q0   q1   q2   q3
     0  2.97024120e-01  4.81904590e-01  2.51128750e-01  7.85161760e-01
    10  2.93322492e-01  4.81786352e-01  2.55592103e-01  7.85185649e-01
    20  2.89416939e-01  4.81510273e-01  2.59942704e-01  7.85376014e-01
    30  2.85495378e-01  4.81208292e-01  2.64148552e-01  7.85593095e-01
    40  2.81608754e-01  4.80870360e-01  2.68279739e-01  7.85802894e-01
    50  2.77748653e-01  4.80506286e-01  2.72405006e-01  7.85980221e-01
    60  2.73910699e-01  4.80132292e-01  2.76554451e-01  7.86106575e-01
    70  2.70082883e-01  4.79765279e-01  2.80713515e-01  7.86180918e-01
    80  2.66243714e-01  4.79416034e-01  2.84845913e-01  7.86217118e-01
    90  2.62379663e-01  4.79092629e-01  2.88931276e-01  7.86222541e-01
   100  2.58489767e-01  4.78794108e-01  2.92955981e-01  7.86203559e-01
   110  2.54581835e-01  4.78510223e-01  2.96888619e-01  7.86176318e-01
   120  2.50680122e-01  4.78245723e-01  3.00678786e-01  7.86150604e-01
