# inc   q0   q1   q2   q3
     0  5.11128580e-01  4.27886600e-02  8.18142649e-01  2.59921740e-01
    10  5.14094448e-01  4.29940042e-02  8.16608252e-01  2.58861695e-01
    20  5.17391745e-01  4.30336873e-02  8.14893752e-01  2.57685967e-01
    30  5.20684493e-01  4.30094404e-02  8.13186885e-01  2.56446752e-01
    40  5.23961504e-01  4.28888756e-02  8.11505647e-01  2.55114625e-01
    50  5.27228701e-01  4.26566682e-02  8.09842478e-01  2.53703499e-01
    60  5.30495787e-01  4.23278791e-02  8.08177595e-01  2.52252939e-01
    70  5.33750841e-01  4.19332518e-02  8.06507906e-01  2.50792023e-01
    80  5.36987357e-01  4.14936985e-02  8.04827053e-01  2.49351691e-01
    90  5.40207131e-01  4.10037850e-02  8.03130364e-01  2.47944679e-01
   100  5.43415215e-01  4.04448787e-02  8.01416136e-01  2.46569044e-01
   110  5.46616589e-01  3.97992050e-02  7.99686210e-01  2.45210712e-01
   120  5.49814838e-01  3.90525542e-02  7.97939317e-01  2.43867561e-01
