# inc   q0   q1   q2   q3
     0  8.75706299e-02  5.23320379e-01  6.64179599e-01  5.26623799e-01
    10  8.76104423e-02  5.27330533e-01  6.60830880e-01  5.26829638e-01
    20  8.80082867e-02  5.31654282e-01  6.56697433e-01  5.27585773e-01
    30  8.85509717e-02  5.36171855e-01  6.52285843e-01  5.28395350e-01
    40  8.91384012e-02  5.40819323e-01  6.47712853e-01  5.29185096e-01
    50  8.96492480e-02  5.45558541e-01  6.43027666e-01  5.29947460e-01
    60  8.99990411e-02  5.50384344e-01  6.38210359e-01  5.30721004e-01
    70  9.01650832e-02  5.55283760e-01  6.33260035e-01  5.31518515e-01
    80  9.01614162e-02  5.60238501e-01  6.28186468e-01  5.32339650e-01
    90  9.00238368e-02  5.65222267e-01  6.22999405e-01  5.33189684e-01
   100  8.98066943e-02  5.70188010e-01  6.17741874e-01  5.34055586e-01
   110  8.95701208e-02  5.75092129e-01  6.12480997e-01  5.34895565e-01
   120  8.93549198e-02  5.79904066e-01  6.07267217e-01  5.35680407e-01
