# inc   q0   q1   q2   q3
     0  1.30735210e-01  2.53417320e-01 -9.58249091e-01 -2.11340000e-02
    10  1.33002989e-01  2.50508920e-01 -9.58801871e-01 -1.59517260e-02
    20  1.35517046e-01  2.47612620e-01 -9.59280962e-01 -1.01566000e-02
    30  1.37980223e-01  2.44899658e-01 -9.59670167e-01 -4.33417411e-03
    40  1.40402970e-01  2.42368075e-01 -9.59969950e-01  1.55510573e-03
    50  1.42781101e-01  2.40014193e-01 -9.60182200e-01  7.54240222e-03
    60  1.45097536e-01  2.37839887e-01 -9.60308917e-01  1.36263357e-02
    70  1.47354597e-01  2.35852381e-01 -9.60347900e-01  1.98037379e-02
    80  1.49567422e-01  2.34062391e-01 -9.60294885e-01  2.60406709e-02
    90  1.51732435e-01  2.32469753e-01 -9.60153476e-01  3.22550010e-02
   100  1.53838296e-01  2.31067584e-01 -9.59932569e-01  3.83538009e-02
   110  1.55889163e-01  2.29852284e-01 -9.59639191e-01  4.42619430e-02
   120  1.57925068e-01  2.28863802e-01 -9.59263127e-01  4.99528475e-02
