# inc   q0   q1   q2   q3
     0  5.13176633e-01 -3.96852073e-01  7.60854655e-01 -1.60738801e-02
    10  5.11817821e-01 -4.00774549e-01  7.59770121e-01 -1.31012736e-02
    20  5.10267736e-01 -4.05360036e-01  7.58423334e-01 -1.02042249e-02
    30  5.08841025e-01 -4.09840216e-01  7.57004701e-01 -7.46259274e-03
    40  5.07544652e-01 -4.14183980e-01  7.55530500e-01 -4.87036624e-03
    50  5.06381570e-01 -4.18369093e-01  7.54015351e-01 -2.42010603e-03
    60  5.05348712e-01 -4.22380648e-01  7.52474090e-01 -1.07743993e-04
    70  5.04442406e-01 -4.26200638e-01  7.50923820e-01  2.07187839e-03
    80  5.03653207e-01 -4.29806990e-01  7.49387984e-01  4.12902360e-03
    90  5.02953609e-01 -4.33187723e-01  7.47896474e-01  6.07685916e-03
   100  5.02319933e-01 -4.36338579e-01  7.46472096e-01  7.92080009e-03
   110  5.01743792e-01 -4.39249858e-01  7.45130373e-01  9.66726957e-03
   120  5.01232486e-01 -4.41908208e-01  7.43878283e-01  1.13239184e-02
