# inc   q0   q1   q2   q3
     0  7.40470001e-03  2.34593660e-01  2.31127720e-01  9.44187991e-01
    10  9.91420816e-03  2.34153772e-01  2.28676800e-01  9.44870701e-01
    20  1.25148682e-02  2.33708216e-01  2.26087446e-01  9.45573009e-01
    30  1.51028021e-02  2.33332417e-01  2.23545368e-01  9.46232190e-01
    40  1.76783120e-02  2.33018775e-01  2.21019441e-01  9.46858033e-01
    50  2.02383065e-02  2.32780396e-01  2.18498409e-01  9.47450338e-01
    60  2.27775997e-02  2.32622178e-01  2.15984900e-01  9.48007714e-01
    70  2.52974126e-02  2.32535956e-01  2.13483682e-01  9.48531385e-01
    80  2.77841260e-02  2.32514098e-01  2.10992299e-01  9.49024492e-01
    90  3.02248226e-02  2.32538225e-01  2.08511922e-01  9.49492081e-01
   100  3.26217346e-02  2.32580546e-01  2.06060049e-01  9.49937560e-01
   110  3.49711810e-02  2.32620477e-01  2.03663690e-01  9.50360896e-01
   120  3.72519166e-02  2.32657072e-01  2.01337065e-01  9.50760942e-01
