# inc   q0   q1   q2   q3
     0  5.14611278e-01  5.29467218e-01  6.61078638e-01  1.33471840e-01
    10  5.16918305e-01  5.29541969e-01  6.59560808e-01  1.31758529e-01
    20  5.19777613e-01  5.29513477e-01  6.57745144e-01  1.29684374e-01
    30  5.22688055e-01  5.29446770e-01  6.55896071e-01  1.27607441e-01
    40  5.25635937e-01  5.29328253e-01  6.54033616e-01  1.25532832e-01
    50  5.28608137e-01  5.29143098e-01  6.52177997e-01  1.23470153e-01
    60  5.31586144e-01  5.28886796e-01  6.50346050e-01  1.21428763e-01
    70  5.34556183e-01  5.28555662e-01  6.48552117e-01  1.19410008e-01
    80  5.37513244e-01  5.28150483e-01  6.46800631e-01  1.17411770e-01
    90  5.40458271e-01  5.27680958e-01  6.45083340e-01  1.15434607e-01
   100  5.43386078e-01  5.27153988e-01  6.43399587e-01  1.13477817e-01
   110  5.46288710e-01  5.26574815e-01  6.41752679e-01  1.11539720e-01
   120  5.49167528e-01  5.25953505e-01  6.40132654e-01  1.09627195e-01
