# inc   q0   q1   q2   q3
     0  3.90937299e-02  4.59622679e-01  4.28096259e-01  7.77143659e-01
    10  4.08896202e-02  4.61032795e-01  4.30149902e-01  7.75079262e-01
    20  4.28362807e-02  4.62281115e-01  4.32623211e-01  7.72850815e-01
    30  4.47275854e-02  4.63508205e-01  4.35041004e-01  7.70648371e-01
    40  4.65386740e-02  4.64730425e-01  4.37406085e-01  7.68463207e-01
    50  4.82627367e-02  4.65939622e-01  4.39731376e-01  7.66294522e-01
    60  4.99038859e-02  4.67128154e-01  4.42017455e-01  7.64147538e-01
    70  5.14630232e-02  4.68306975e-01  4.44238647e-01  7.62031600e-01
    80  5.29257240e-02  4.69491552e-01  4.46355521e-01  7.59962696e-01
    90  5.42780870e-02  4.70675825e-01  4.48354203e-01  7.57955583e-01
   100  5.55188334e-02  4.71834685e-01  4.50234724e-01  7.56028030e-01
   110  5.66499431e-02  4.72940997e-01  4.51995866e-01  7.54199798e-01
   120  5.76818379e-02  4.73975929e-01  4.53627622e-01  7.52490269e-01
