Strain_vM	Stress_vM
1.3343220141622407e-16	2.2992938384067725e-05
0.00931816679340805	95182226.22992577
0.019842282979865324	98492001.43817915
0.03021261130692394	100882579.20943831
0.04047441921591103	103163390.23866293
0.05065748996122803	105464046.07776055
0.060786803719010525	107799347.81492032
0.07087336239888131	110081442.67963679
0.08091081719818548	112216540.0435209
0.09088732801140229	114167137.98599304
0.10080857615469833	115959782.0355879
0.1106786120461115	117606561.12147023
0.12048397199357723	119179094.31181102
