Strain_vM	Stress_vM
1.9582493486507355e-16	3.332098167400962e-05
0.0070300221362080365	94322143.80439673
0.015429942652488537	97268577.34615412
0.023848069340279	99895766.98370625
0.03230782276729167	102521937.18231516
0.040801391878847196	105103815.29704836
0.049305549060747265	107618398.16996753
0.05779683372057608	110017647.96907894
0.06625209789016602	112232771.63647863
0.07464308430273203	114202758.93847023
0.08294114741040652	115909895.58247818
0.09113599129877914	117421335.73555176
0.09924576412950904	118845314.12708391
