Strain_vM	Stress_vM
1.281975124255709e-16	3.568494900028798e-05
0.006635160087278869	119466686.81509247
0.015168452873425204	121351070.89194421
0.02380607089425976	122965004.74973081
0.03251746845076813	124430549.43088524
0.041319990154177734	125781074.44430915
0.050235667471967914	127042380.08930929
0.05927665856515832	128216228.58602126
0.06846063636526106	129257610.85033299
0.07776627013972316	130217914.2310056
0.0871080841402666	131329328.22532636
0.0964389574475284	132596916.3861487
0.10577020721241273	133909092.40519121
