Strain_vM	Stress_vM
3.700743415417188e-17	1.8319710840445146e-05
0.005611861479714758	102566489.47670004
0.012654801757202567	105556024.7651275
0.019935797817639045	107225771.34356017
0.027357699260508583	108509033.02561994
0.034881747729183836	109709250.33874723
0.04248840422139798	110936325.43414533
0.050171669240083594	112221714.8880163
0.057948689507694565	113575405.43306953
0.06584159781484146	114929683.91640788
0.07386608649151094	116298658.36585224
0.08203564598993715	117741145.29729392
0.0903660718819557	119203122.69236028
