Strain_vM	Stress_vM
1.850371707708595e-16	3.2939958305606646e-05
0.006327507512491998	146840023.75620133
0.01516416873888498	150127976.17638788
0.024176282028491255	152923000.3428363
0.03320179736315011	155521053.8884691
0.042217254046155867	157923644.2327785
0.05120298085396286	160109613.64024353
0.06013885792505751	162100835.17905387
0.06902511757771447	163917508.696155
0.07784989378224152	165610094.178975
0.08661728270653901	167154329.07154495
0.09535124620845442	168503990.96075886
0.10409413468960364	169721694.39827505
