# inc   q0   q1   q2   q3
     0  6.30294478e-01  7.98635397e-02  1.48068989e-01  7.57909137e-01
    10  6.29162667e-01  8.18052823e-02  1.49445878e-01  7.58372048e-01
    20  6.27944767e-01  8.37489347e-02  1.50798992e-01  7.58901278e-01
    30  6.26710480e-01  8.56655960e-02  1.52058080e-01  7.59456201e-01
    40  6.25458635e-01  8.75524871e-02  1.53228713e-01  7.60037512e-01
    50  6.24195765e-01  8.94055132e-02  1.54298215e-01  7.60643387e-01
    60  6.22929035e-01  9.12335893e-02  1.55252048e-01  7.61270419e-01
    70  6.21665091e-01  9.30565703e-02  1.56083971e-01  7.61912582e-01
    80  6.20410959e-01  9.48843784e-02  1.56797895e-01  7.62562533e-01
    90  6.19171398e-01  9.67159451e-02  1.57409807e-01  7.63213573e-01
   100  6.17953515e-01  9.85564883e-02  1.57914227e-01  7.63860700e-01
   110  6.16771324e-01  1.00409461e-01  1.58278036e-01  7.64499272e-01
   120  6.15629732e-01  1.02247641e-01  1.58471520e-01  7.65135433e-01
