# inc   q0   q1   q2   q3
     0  1.24103810e-01 -5.12502461e-01 -8.49386072e-01  2.19720701e-02
    10  1.25375510e-01 -5.09268995e-01 -8.51270950e-01  1.62432186e-02
    20  1.26599637e-01 -5.05696469e-01 -8.53313961e-01  9.94466448e-03
    30  1.27304314e-01 -5.02029733e-01 -8.55420781e-01  3.87903736e-03
    40  1.27435675e-01 -4.98256845e-01 -8.57610700e-01 -2.03749196e-03
    50  1.26899572e-01 -4.94484379e-01 -8.59838347e-01 -7.72751561e-03
    60  1.25656930e-01 -4.90880973e-01 -8.62019017e-01 -1.30161603e-02
    70  1.23800773e-01 -4.87444896e-01 -8.64148817e-01 -1.78231451e-02
    80  1.21385946e-01 -4.84189757e-01 -8.66221938e-01 -2.20291885e-02
    90  1.18458160e-01 -4.81134705e-01 -8.68230578e-01 -2.55484649e-02
   100  1.15087106e-01 -4.78286026e-01 -8.70167643e-01 -2.83850022e-02
   110  1.11375469e-01 -4.75612837e-01 -8.72036728e-01 -3.06574592e-02
   120  1.07423019e-01 -4.73062102e-01 -8.73850360e-01 -3.25283103e-02
