# inc   q0   q1   q2   q3
     0  3.55903620e-01  1.94692370e-01  5.87449999e-02 -9.12127469e-01
    10  3.56990673e-01  1.92647550e-01  5.29194254e-02 -9.12493351e-01
    20  3.58088625e-01  1.90359977e-01  4.63673127e-02 -9.12899604e-01
    30  3.59096061e-01  1.87984926e-01  3.96526245e-02 -9.13312299e-01
    40  3.59963409e-01  1.85503080e-01  3.28116877e-02 -9.13749607e-01
    50  3.60695140e-01  1.82889747e-01  2.59076154e-02 -9.14209578e-01
    60  3.61322232e-01  1.80121211e-01  1.90105478e-02 -9.14680924e-01
    70  3.61869825e-01  1.77200327e-01  1.21626160e-02 -9.15151542e-01
    80  3.62348977e-01  1.74130500e-01  5.38355417e-03 -9.15616080e-01
    90  3.62733575e-01  1.70917796e-01 -1.32170147e-03 -9.16083901e-01
   100  3.62973322e-01  1.67612195e-01 -7.91391887e-03 -9.16566359e-01
   110  3.63066356e-01  1.64276946e-01 -1.43240177e-02 -9.17055466e-01
   120  3.63050777e-01  1.60978151e-01 -2.04758835e-02 -9.17529785e-01
