# inc   q0   q1   q2   q3
     0  2.97024120e-01  4.81904590e-01  2.51128750e-01  7.85161760e-01
    10  3.00635626e-01  4.81970867e-01  2.46604696e-01  7.85180507e-01
    20  3.04209339e-01  4.82117323e-01  2.41966916e-01  7.85157039e-01
    30  3.07603863e-01  4.82184771e-01  2.37306119e-01  7.85215586e-01
    40  3.10805318e-01  4.82164571e-01  2.32654080e-01  7.85359446e-01
    50  3.13771760e-01  4.82023202e-01  2.28079672e-01  7.85608413e-01
    60  3.16503476e-01  4.81754716e-01  2.23609100e-01  7.85962412e-01
    70  3.19016889e-01  4.81344479e-01  2.19254486e-01  7.86424305e-01
    80  3.21308425e-01  4.80791894e-01  2.15049821e-01  7.86990232e-01
    90  3.23328418e-01  4.80096340e-01  2.11055117e-01  7.87668697e-01
   100  3.25055662e-01  4.79233007e-01  2.07344082e-01  7.88468752e-01
   110  3.26521102e-01  4.78199185e-01  2.03927454e-01  7.89381469e-01
   120  3.27733616e-01  4.77017232e-01  2.00797515e-01  7.90395848e-01
