# inc   q0   q1   q2   q3
     0  1.55444001e-02 -4.64105702e-02 -8.64626253e-01 -5.00025872e-01
    10  1.44349726e-02 -4.20417788e-02 -8.66483216e-01 -4.97223247e-01
    20  1.33659814e-02 -3.72873211e-02 -8.68510327e-01 -4.94085840e-01
    30  1.24697027e-02 -3.24515583e-02 -8.70550387e-01 -4.90849699e-01
    40  1.16638370e-02 -2.76055485e-02 -8.72579774e-01 -4.87551461e-01
    50  1.09108833e-02 -2.27851389e-02 -8.74595830e-01 -4.84194097e-01
    60  1.01875500e-02 -1.80062249e-02 -8.76594930e-01 -4.80784066e-01
    70  9.47917282e-03 -1.32658847e-02 -8.78566823e-01 -4.77341072e-01
    80  8.77439327e-03 -8.58556507e-03 -8.80493784e-01 -4.73898717e-01
    90  8.04344450e-03 -4.00716792e-03 -8.82361320e-01 -4.70486712e-01
   100  7.24511374e-03  4.46710591e-04 -8.84154618e-01 -4.67138010e-01
   110  6.27387363e-03  4.62840156e-03 -8.85842633e-01 -4.63920302e-01
   120  5.03682511e-03  8.42190197e-03 -8.87399618e-01 -4.60896539e-01
