# inc   q0   q1   q2   q3
     0  2.89284320e-01  4.59745201e-01  8.58573401e-02  8.35211021e-01
    10  2.91406948e-01  4.56957636e-01  8.96309608e-02  8.35606367e-01
    20  2.93774886e-01  4.53588274e-01  9.33374211e-02  8.36206984e-01
    30  2.96115110e-01  4.50300644e-01  9.68327835e-02  8.36760768e-01
    40  2.98369299e-01  4.47109658e-01  1.00145959e-01  8.37281017e-01
    50  3.00519734e-01  4.44038577e-01  1.03268710e-01  8.37766797e-01
    60  3.02573430e-01  4.41099416e-01  1.06198602e-01  8.38213864e-01
    70  3.04536732e-01  4.38276534e-01  1.08962692e-01  8.38628756e-01
    80  3.06426022e-01  4.35534335e-01  1.11600061e-01  8.39022265e-01
    90  3.08263412e-01  4.32828276e-01  1.14136381e-01  8.39408267e-01
   100  3.10066749e-01  4.30119270e-01  1.16589395e-01  8.39799344e-01
   110  3.11857633e-01  4.27389016e-01  1.18983264e-01  8.40194280e-01
   120  3.13666567e-01  4.24641820e-01  1.21328640e-01  8.40578355e-01
