# inc   q0   q1   q2   q3
     0  8.75706299e-02  5.23320379e-01  6.64179599e-01  5.26623799e-01
    10  8.76035503e-02  5.19615806e-01  6.67114941e-01  5.26576383e-01
    20  8.74559853e-02  5.16229307e-01  6.70011006e-01  5.26254696e-01
    30  8.72864257e-02  5.13194745e-01  6.72512582e-01  5.26059941e-01
    40  8.70877856e-02  5.10543717e-01  6.74580364e-01  5.26024869e-01
    50  8.68562598e-02  5.08272465e-01  6.76215182e-01  5.26163586e-01
    60  8.65991068e-02  5.06345613e-01  6.77427301e-01  5.26504480e-01
    70  8.63366302e-02  5.04687764e-01  6.78284945e-01  5.27034894e-01
    80  8.60539135e-02  5.03200233e-01  6.78931164e-01  5.27671038e-01
    90  8.57183200e-02  5.01801881e-01  6.79514672e-01  5.28305833e-01
   100  8.53430952e-02  5.00452337e-01  6.80101776e-01  5.28890904e-01
   110  8.49193462e-02  4.99153504e-01  6.80664336e-01  5.29462507e-01
   120  8.44259235e-02  4.97900231e-01  6.81186132e-01  5.30050071e-01
