# inc   q0   q1   q2   q3
     0  7.90506767e-01  1.27501420e-01  3.28431349e-01  5.00974338e-01
    10  7.93208686e-01  1.28929439e-01  3.25616695e-01  4.98167590e-01
    20  7.96214088e-01  1.30784703e-01  3.22185108e-01  4.95111346e-01
    30  7.99210514e-01  1.32600946e-01  3.18687250e-01  4.92054855e-01
    40  8.02200505e-01  1.34314948e-01  3.15164305e-01  4.88983951e-01
    50  8.05181030e-01  1.35886531e-01  3.11635925e-01  4.85902676e-01
    60  8.08147759e-01  1.37304531e-01  3.08115157e-01  4.82814369e-01
    70  8.11095483e-01  1.38593025e-01  3.04610403e-01  4.79717202e-01
    80  8.14008949e-01  1.39790067e-01  3.01148512e-01  4.76610682e-01
    90  8.16866870e-01  1.40908298e-01  2.97766434e-01  4.73506619e-01
   100  8.19657750e-01  1.41949189e-01  2.94476132e-01  4.70420459e-01
   110  8.22377408e-01  1.42894549e-01  2.91295934e-01  4.67357707e-01
   120  8.25028918e-01  1.43740318e-01  2.88249380e-01  4.64304104e-01
