Strain_vM	Stress_vM
1.1102230246251568e-16	3.1434897160320085e-05
0.007452031450918122	123743481.27421267
0.016729930955195496	125993539.66691388
0.025699860808359058	127939432.42262803
0.03444785309654025	129715625.58063966
0.04300433242258062	131385789.9983157
0.0513834951889868	133008991.62785885
0.059597364023273425	134630078.56607044
0.06765433587570387	136291434.21016952
0.07555539822518637	138018759.99531886
0.0832805363143704	139804389.04615077
0.09080620000969358	141615743.0888452
0.09811521727273938	143373966.56443873
