Strain_vM	Stress_vM
2.251074338154752e-16	1.4445484260663609e-05
0.01008854202246698	93523610.08744745
0.0216750951286916	96173983.31008555
0.03351645475255982	97341885.80739625
0.045653358184934545	98272671.24822219
0.05803521187097569	99180401.13894178
0.07059413260984182	100131266.65837175
0.08333379928143604	101104948.40590598
0.09628628599505523	102031810.17501752
0.10948229454268756	102890473.842588
0.12291547883587912	103735370.36823912
0.13654244384666514	104649691.78296678
0.15029455606967482	105600566.65640907
