Strain_vM	Stress_vM
3.2262333127554164e-16	2.2728588805280333e-05
0.006304975482928286	98001275.19768098
0.0138495129667176	99964640.6448076
0.021526359947087605	100935486.80418848
0.029273902026879555	101800479.32261078
0.037076561811523696	102785755.34840645
0.04491082032525803	103921754.01212585
0.05276304302628821	105128244.65357925
0.06062526982284951	106301099.14681676
0.06849611659017103	107383377.89477713
0.07639220929264301	108362690.23159584
0.08433763997037375	109260437.12023203
0.09235780475916423	110108506.81470351
