Strain_vM	Stress_vM
9.791246743253676e-17	1.6815668462299573e-05
0.00558025304340361	114142700.2864748
0.012821014031230886	117134326.61946864
0.02008714444241608	119266708.63113505
0.027306205448266785	121124489.12472504
0.0344765071297556	122903500.37063542
0.04160849181442882	124710458.44073595
0.04870085155504027	126535562.77261478
0.05575087373968137	128347906.30056809
0.06275969893159557	130123214.34239429
0.06974704748920724	131865486.26895118
0.07674237173842653	133592847.0639982
0.08376354230337311	135300983.86487952
