Strain_vM	Stress_vM
1.2819751242557097e-16	2.6202276401857695e-05
0.015248830066870184	87308749.56548677
0.03258297797922158	89791860.6355614
0.05006477941069594	91907099.67023632
0.06768528381050301	93916321.58804023
0.08545053410543658	95862753.96907505
0.10336743337199292	97688399.04209824
0.12143499000300265	99402631.31300373
0.13965295981956322	101033334.94455625
0.15802318416993344	102585709.77014098
0.17654793553030168	104043549.48471636
0.19522723562082425	105404366.74726301
0.2140591567398584	106694640.61737502
