Strain_vM	Stress_vM
2.2204460492503136e-16	2.658700891643151e-05
0.01545159829340133	132669755.7973547
0.03322678735766555	136639996.69127303
0.05128802568147373	140341474.4347878
0.06961431808291865	143902243.0881103
0.08820064982151532	147354416.0176633
0.10704263592971548	150761427.53476056
0.12613412076274946	154125420.4105827
0.14546461696664684	157412911.734958
0.16500725065042265	160640540.40862498
0.18472613975785812	163794057.39213237
0.20458755018059627	166836795.93664515
0.22456439681858817	169750051.24511465
