Strain_vM	Stress_vM
1.6958936828758677e-16	2.176106456623713e-05
0.017185245611417085	98415262.6482695
0.03643209114210795	100456082.87444037
0.05568524319777332	101881585.21651678
0.07494438914014023	103193655.66749601
0.09421403136823253	104555705.88073862
0.11351033868788694	105920769.01271628
0.1328542778533379	107180244.30299826
0.15226395892694142	108347199.17160758
0.17175696939438137	109428523.0321841
0.19134162087417242	110492181.16459146
0.2110198720343374	111662565.10605128
0.23079206636108365	113040289.87583964
