# inc   q0   q1   q2   q3
     0  7.84543983e-01 -1.25579030e-01 -6.07181102e-01  7.19410003e-03
    10  7.83797767e-01 -1.25532407e-01 -6.08160212e-01  6.62051775e-03
    20  7.83223526e-01 -1.25773875e-01 -6.08857256e-01  5.88914158e-03
    30  7.82672479e-01 -1.26130307e-01 -6.09498868e-01  5.10549143e-03
    40  7.82106502e-01 -1.26591035e-01 -6.10135951e-01  4.27214375e-03
    50  7.81496299e-01 -1.27142071e-01 -6.10808419e-01  3.39185970e-03
    60  7.80815685e-01 -1.27777233e-01 -6.11550329e-01  2.45742366e-03
    70  7.80044300e-01 -1.28498254e-01 -6.12386288e-01  1.45677238e-03
    80  7.79166134e-01 -1.29304275e-01 -6.13335469e-01  3.77018248e-04
    90  7.78163277e-01 -1.30203375e-01 -6.14417088e-01 -7.98435227e-04
   100  7.77016877e-01 -1.31218430e-01 -6.15647742e-01 -2.08659951e-03
   110  7.75724105e-01 -1.32366023e-01 -6.17024447e-01 -3.49005514e-03
   120  7.74312334e-01 -1.33626907e-01 -6.18513929e-01 -4.97784479e-03
