# inc   q0   q1   q2   q3
     0  7.40470001e-03  2.34593660e-01  2.31127720e-01  9.44187991e-01
    10  7.19396963e-03  2.35712978e-01  2.30422883e-01  9.44083118e-01
    20  6.72480651e-03  2.36909679e-01  2.29660290e-01  9.43972845e-01
    30  6.28031053e-03  2.38061178e-01  2.28945314e-01  9.43859882e-01
    40  5.87063491e-03  2.39163911e-01  2.28259430e-01  9.43749857e-01
    50  5.49663425e-03  2.40222073e-01  2.27601111e-01  9.43642346e-01
    60  5.16148445e-03  2.41240912e-01  2.26969322e-01  9.43536490e-01
    70  4.86915849e-03  2.42226467e-01  2.26361471e-01  9.43431563e-01
    80  4.62070838e-03  2.43183681e-01  2.25775527e-01  9.43326962e-01
    90  4.41451745e-03  2.44115715e-01  2.25208704e-01  9.43222704e-01
   100  4.24829618e-03  2.45023235e-01  2.24659580e-01  9.43119101e-01
   110  4.12532262e-03  2.45903341e-01  2.24130905e-01  9.43016366e-01
   120  4.04868457e-03  2.46749337e-01  2.23627367e-01  9.42915253e-01
