# inc   q0   q1   q2   q3
     0  2.97024120e-01  4.81904590e-01  2.51128750e-01  7.85161760e-01
    10  2.96050611e-01  4.81486636e-01  2.51014128e-01  7.85822220e-01
    20  2.95025669e-01  4.81081380e-01  2.50800027e-01  7.86523939e-01
    30  2.93895225e-01  4.80750816e-01  2.50585446e-01  7.87217368e-01
    40  2.92693436e-01  4.80451944e-01  2.50382374e-01  7.87911891e-01
    50  2.91443511e-01  4.80160164e-01  2.50187637e-01  7.88614635e-01
    60  2.90152766e-01  4.79859280e-01  2.50000472e-01  7.89332761e-01
    70  2.88825615e-01  4.79541068e-01  2.49823880e-01  7.90068451e-01
    80  2.87471476e-01  4.79199987e-01  2.49657772e-01  7.90821421e-01
    90  2.86101299e-01  4.78832335e-01  2.49496938e-01  7.91591384e-01
   100  2.84722767e-01  4.78434284e-01  2.49334520e-01  7.92379883e-01
   110  2.83327043e-01  4.78008157e-01  2.49176084e-01  7.93186780e-01
   120  2.81895001e-01  4.77559980e-01  2.49036930e-01  7.94010252e-01
