# inc   q0   q1   q2   q3
     0  6.30294478e-01  7.98635397e-02  1.48068989e-01  7.57909137e-01
    10  6.30734920e-01  7.90820719e-02  1.48222850e-01  7.57594531e-01
    20  6.31233523e-01  7.80225479e-02  1.48406181e-01  7.57253146e-01
    30  6.31676231e-01  7.68932163e-02  1.48557940e-01  7.56969689e-01
    40  6.32023219e-01  7.56765358e-02  1.48679154e-01  7.56778846e-01
    50  6.32267261e-01  7.43799854e-02  1.48772597e-01  7.56685168e-01
    60  6.32417256e-01  7.30304367e-02  1.48848028e-01  7.56676439e-01
    70  6.32489297e-01  7.16592351e-02  1.48913669e-01  7.56734406e-01
    80  6.32498377e-01  7.03058813e-02  1.48971590e-01  7.56842356e-01
    90  6.32456454e-01  6.89998638e-02  1.49027968e-01  7.56986471e-01
   100  6.32373013e-01  6.77760866e-02  1.49093962e-01  7.57153726e-01
   110  6.32259507e-01  6.66617581e-02  1.49173883e-01  7.57331684e-01
   120  6.32128913e-01  6.56664386e-02  1.49265456e-01  7.57509590e-01
