# inc   q0   q1   q2   q3
     0  1.42177000e-03 -5.70821200e-01 -5.39467760e-01 -6.18979540e-01
    10 -1.27588530e-04 -5.72654016e-01 -5.38605554e-01 -6.18038363e-01
    20 -2.12357608e-03 -5.74780727e-01 -5.37477519e-01 -6.17041751e-01
    30 -4.13023081e-03 -5.77028656e-01 -5.36338806e-01 -6.15923336e-01
    40 -6.17441866e-03 -5.79390658e-01 -5.35200339e-01 -6.14677915e-01
    50 -8.25916526e-03 -5.81860273e-01 -5.34064098e-01 -6.13307385e-01
    60 -1.03844819e-02 -5.84431966e-01 -5.32932795e-01 -6.11812124e-01
    70 -1.25493481e-02 -5.87104155e-01 -5.31810016e-01 -6.10187948e-01
    80 -1.47530446e-02 -5.89869168e-01 -5.30700970e-01 -6.08435036e-01
    90 -1.69923848e-02 -5.92708313e-01 -5.29616201e-01 -6.06559802e-01
   100 -1.92591022e-02 -5.95601010e-01 -5.28566948e-01 -6.04570513e-01
   110 -2.15439167e-02 -5.98516590e-01 -5.27559749e-01 -6.02490218e-01
   120 -2.38304494e-02 -6.01400776e-01 -5.26600451e-01 -6.00367538e-01
