# inc   q0   q1   q2   q3
     0  5.14611278e-01  5.29467218e-01  6.61078638e-01  1.33471840e-01
    10  5.12339823e-01  5.29578314e-01  6.62511462e-01  1.34659858e-01
    20  5.09662547e-01  5.29731764e-01  6.64143093e-01  1.36170105e-01
    30  5.07052556e-01  5.29912469e-01  6.65689480e-01  1.37651726e-01
    40  5.04501107e-01  5.30115294e-01  6.67161754e-01  1.39110035e-01
    50  5.02004382e-01  5.30337931e-01  6.68565188e-01  1.40548457e-01
    60  4.99564210e-01  5.30578341e-01  6.69901211e-01  1.41966869e-01
    70  4.97183981e-01  5.30836752e-01  6.71168899e-01  1.43362273e-01
    80  4.94863660e-01  5.31115344e-01  6.72369325e-01  1.44727124e-01
    90  4.92600097e-01  5.31415845e-01  6.73507680e-01  1.46047079e-01
   100  4.90386568e-01  5.31734896e-01  6.74598969e-01  1.47293059e-01
   110  4.88214214e-01  5.32062303e-01  6.75659920e-01  1.48459618e-01
   120  4.86067418e-01  5.32402864e-01  6.76686679e-01  1.49602120e-01
