# inc   q0   q1   q2   q3
     0  3.90937299e-02  4.59622679e-01  4.28096259e-01  7.77143659e-01
    10  4.13912895e-02  4.59286638e-01  4.25734429e-01  7.78519583e-01
    20  4.39427692e-02  4.58961849e-01  4.23257922e-01  7.79920371e-01
    30  4.64607826e-02  4.58762832e-01  4.20722091e-01  7.81262428e-01
    40  4.89229028e-02  4.58684818e-01  4.18122166e-01  7.82552645e-01
    50  5.13037414e-02  4.58742325e-01  4.15468396e-01  7.83778934e-01
    60  5.35835186e-02  4.58945631e-01  4.12782817e-01  7.84925513e-01
    70  5.57455212e-02  4.59303676e-01  4.10093261e-01  7.85974610e-01
    80  5.77708820e-02  4.59819543e-01  4.07433004e-01  7.86909690e-01
    90  5.96470630e-02  4.60493296e-01  4.04825984e-01  7.87720810e-01
   100  6.13771661e-02  4.61307036e-01  4.02280342e-01  7.88415619e-01
   110  6.29721411e-02  4.62230487e-01  3.99786393e-01  7.89017317e-01
   120  6.44527455e-02  4.63235468e-01  3.97332595e-01  7.89547689e-01
