# inc   q0   q1   q2   q3
     0  6.58747190e-01  1.16338500e-01  7.13177230e-01  2.09513080e-01
    10  6.59041007e-01  1.15549752e-01  7.12975677e-01  2.09711445e-01
    20  6.59362529e-01  1.14544024e-01  7.12725674e-01  2.10101964e-01
    30  6.59689660e-01  1.13512781e-01  7.12459952e-01  2.10535551e-01
    40  6.60050360e-01  1.12447702e-01  7.12154536e-01  2.11009368e-01
    50  6.60456943e-01  1.11350160e-01  7.11797544e-01  2.11523106e-01
    60  6.60910558e-01  1.10220636e-01  7.11384476e-01  2.12086712e-01
    70  6.61410813e-01  1.09059734e-01  7.10911555e-01  2.12712179e-01
    80  6.61964258e-01  1.07866328e-01  7.10371411e-01  2.13402519e-01
    90  6.62579933e-01  1.06632654e-01  7.09755537e-01  2.14159722e-01
   100  6.63248140e-01  1.05358843e-01  7.09069481e-01  2.14992768e-01
   110  6.63943848e-01  1.04059776e-01  7.08333872e-01  2.15901030e-01
   120  6.64631792e-01  1.02762004e-01  7.07580282e-01  2.16874840e-01
