# inc   q0   q1   q2   q3
     0  4.43321001e-03  2.55676821e-01 -8.94479763e-01  3.66763771e-01
    10  3.84774043e-03  2.55850605e-01 -8.94756716e-01  3.65972789e-01
    20  3.51478984e-03  2.56208384e-01 -8.95104225e-01  3.64874411e-01
    30  3.10307589e-03  2.56529065e-01 -8.95448461e-01  3.63806628e-01
    40  2.64596211e-03  2.56810420e-01 -8.95792603e-01  3.62763034e-01
    50  2.15169233e-03  2.57062919e-01 -8.96134538e-01  3.61741504e-01
    60  1.62169689e-03  2.57295370e-01 -8.96472451e-01  3.60740359e-01
    70  1.05666277e-03  2.57516999e-01 -8.96804012e-01  3.59758869e-01
    80  4.56601014e-04  2.57735700e-01 -8.97127135e-01  3.58796605e-01
    90 -1.83966210e-04  2.57957636e-01 -8.97440074e-01  3.57853514e-01
   100 -8.72424949e-04  2.58188506e-01 -8.97740845e-01  3.56930398e-01
   110 -1.61248310e-03  2.58431354e-01 -8.98028553e-01  3.56027180e-01
   120 -2.40403924e-03  2.58687061e-01 -8.98303843e-01  3.55141424e-01
