# inc   q0   q1   q2   q3
     0  5.14611278e-01  5.29467218e-01  6.61078638e-01  1.33471840e-01
    10  5.16921668e-01  5.29380170e-01  6.59580509e-01  1.32295794e-01
    20  5.19749957e-01  5.29332126e-01  6.57694596e-01  1.30787238e-01
    30  5.22618484e-01  5.29325131e-01  6.55721779e-01  1.29281765e-01
    40  5.25513418e-01  5.29355907e-01  6.53674580e-01  1.27779166e-01
    50  5.28425536e-01  5.29425149e-01  6.51560561e-01  1.26270742e-01
    60  5.31350455e-01  5.29528104e-01  6.49386882e-01  1.24753192e-01
    70  5.34284470e-01  5.29660277e-01  6.47159139e-01  1.23228020e-01
    80  5.37226882e-01  5.29819965e-01  6.44878701e-01  1.21694467e-01
    90  5.40177487e-01  5.30005538e-01  6.42546591e-01  1.20151117e-01
   100  5.43133186e-01  5.30215357e-01  6.40166319e-01  1.18596380e-01
   110  5.46090628e-01  5.30447173e-01  6.37741618e-01  1.17031843e-01
   120  5.49049629e-01  5.30699291e-01  6.35272955e-01  1.15460125e-01
