# inc   q0   q1   q2   q3
     0  3.90937299e-02  4.59622679e-01  4.28096259e-01  7.77143659e-01
    10  3.68181111e-02  4.59971934e-01  4.30366330e-01  7.75793187e-01
    20  3.42925122e-02  4.60435178e-01  4.32581402e-01  7.74400930e-01
    30  3.17794494e-02  4.60915562e-01  4.34689752e-01  7.73040575e-01
    40  2.92788488e-02  4.61441931e-01  4.36697764e-01  7.71692398e-01
    50  2.67959986e-02  4.62026193e-01  4.38613082e-01  7.70345595e-01
    60  2.43327065e-02  4.62671477e-01  4.40451637e-01  7.68989844e-01
    70  2.18885559e-02  4.63371562e-01  4.42233854e-01  7.67617682e-01
    80  1.94603362e-02  4.64115065e-01  4.43980439e-01  7.66224427e-01
    90  1.70442809e-02  4.64891462e-01  4.45705505e-01  7.64808488e-01
   100  1.46405808e-02  4.65696266e-01  4.47411823e-01  7.63371012e-01
   110  1.22490012e-02  4.66532014e-01  4.49094169e-01  7.61913558e-01
   120  9.86725076e-03  4.67404348e-01  4.50745491e-01  7.60436924e-01
