# inc   q0   q1   q2   q3
     0  7.40470001e-03  2.34593660e-01  2.31127720e-01  9.44187991e-01
    10  7.63011001e-03  2.33456689e-01  2.31840970e-01  9.44293133e-01
    20  8.16178087e-03  2.32166618e-01  2.32641929e-01  9.44409752e-01
    30  8.72583631e-03  2.30833663e-01  2.33443904e-01  9.44533548e-01
    40  9.30821629e-03  2.29466784e-01  2.34260129e-01  9.44658957e-01
    50  9.90304108e-03  2.28078267e-01  2.35087472e-01  9.44783633e-01
    60  1.05007704e-02  2.26678929e-01  2.35921291e-01  9.44906102e-01
    70  1.10902490e-02  2.25277449e-01  2.36755219e-01  9.45025949e-01
    80  1.16632100e-02  2.23878724e-01  2.37582933e-01  9.45143712e-01
    90  1.22143903e-02  2.22486081e-01  2.38400016e-01  9.45259850e-01
   100  1.27418719e-02  2.21100906e-01  2.39204251e-01  9.45374719e-01
   110  1.32476658e-02  2.19723568e-01  2.39996570e-01  9.45488075e-01
   120  1.37361211e-02  2.18353923e-01  2.40779337e-01  9.45599383e-01
