# inc   q0   q1   q2   q3
     0  2.06613680e-01  9.10237201e-01  3.58856660e-01  9.60470001e-04
    10  2.06297925e-01  9.10129076e-01  3.59297074e-01  3.44134069e-03
    20  2.05543449e-01  9.09974177e-01  3.60086110e-01  6.07297371e-03
    30  2.04801122e-01  9.09786893e-01  3.60925553e-01  8.77814077e-03
    40  2.04079060e-01  9.09568475e-01  3.61805829e-01  1.15528707e-02
    50  2.03379459e-01  9.09319846e-01  3.62721805e-01  1.43911473e-02
    60  2.02701998e-01  9.09042321e-01  3.63669277e-01  1.72805186e-02
    70  2.02042529e-01  9.08738043e-01  3.64645022e-01  2.01988647e-02
    80  2.01395299e-01  9.08409960e-01  3.65645560e-01  2.31214651e-02
    90  2.00756321e-01  9.08061097e-01  3.66666624e-01  2.60294181e-02
   100  2.00122478e-01  9.07694216e-01  3.67704429e-01  2.89077426e-02
   110  1.99491270e-01  9.07311878e-01  3.68755635e-01  3.17438395e-02
   120  1.98861840e-01  9.06915892e-01  3.69817559e-01  3.45326877e-02
