# inc   q0   q1   q2   q3
     0  2.97024120e-01  4.81904590e-01  2.51128750e-01  7.85161760e-01
    10  2.97953657e-01  4.82346940e-01  2.51257106e-01  7.84496599e-01
    20  2.98786736e-01  4.82893914e-01  2.51521821e-01  7.83758080e-01
    30  2.99569418e-01  4.83502880e-01  2.51832380e-01  7.82983768e-01
    40  3.00278446e-01  4.84187529e-01  2.52180620e-01  7.82176596e-01
    50  3.00905540e-01  4.84940001e-01  2.52568035e-01  7.81343996e-01
    60  3.01452238e-01  4.85748350e-01  2.52991970e-01  7.80493531e-01
    70  3.01921073e-01  4.86605672e-01  2.53449938e-01  7.79629216e-01
    80  3.02312011e-01  4.87511799e-01  2.53942382e-01  7.78750897e-01
    90  3.02626870e-01  4.88465931e-01  2.54468453e-01  7.77858482e-01
   100  3.02870582e-01  4.89465924e-01  2.55026772e-01  7.76951650e-01
   110  3.03049715e-01  4.90506749e-01  2.55617001e-01  7.76030894e-01
   120  3.03171054e-01  4.91580258e-01  2.56239900e-01  7.75098236e-01
