# inc   q0   q1   q2   q3
     0  7.90506767e-01  1.27501420e-01  3.28431349e-01  5.00974338e-01
    10  7.92639549e-01  1.26395083e-01  3.26221493e-01  4.99325911e-01
    20  7.95015141e-01  1.24950251e-01  3.23907871e-01  4.97415370e-01
    30  7.97363584e-01  1.23555109e-01  3.21730028e-01  4.95414210e-01
    40  7.99687665e-01  1.22222769e-01  3.19675215e-01  4.93324426e-01
    50  8.01984405e-01  1.20952085e-01  3.17730178e-01  4.91161013e-01
    60  8.04249262e-01  1.19743826e-01  3.15880572e-01  4.88941720e-01
    70  8.06481052e-01  1.18594816e-01  3.14114857e-01  4.86677961e-01
    80  8.08686069e-01  1.17493803e-01  3.12427865e-01  4.84366471e-01
    90  8.10875354e-01  1.16425460e-01  3.10812148e-01  4.81998009e-01
   100  8.13058281e-01  1.15378940e-01  3.09260565e-01  4.79564213e-01
   110  8.15240647e-01  1.14347995e-01  3.07767502e-01  4.77060151e-01
   120  8.17423934e-01  1.13331338e-01  3.06328367e-01  4.74486092e-01
