# inc   q0   q1   q2   q3
     0  5.11128580e-01  4.27886600e-02  8.18142649e-01  2.59921740e-01
    10  5.11280502e-01  4.28311716e-02  8.17939475e-01  2.60255171e-01
    20  5.11338426e-01  4.29860777e-02  8.17758532e-01  2.60684089e-01
    30  5.11373745e-01  4.30906129e-02  8.17563199e-01  2.61209700e-01
    40  5.11400467e-01  4.31575978e-02  8.17346554e-01  2.61823596e-01
    50  5.11428394e-01  4.31830858e-02  8.17102252e-01  2.62526434e-01
    60  5.11462442e-01  4.31639331e-02  8.16827385e-01  2.63317428e-01
    70  5.11504344e-01  4.30991361e-02  8.16521434e-01  2.64194091e-01
    80  5.11555083e-01  4.29879998e-02  8.16185237e-01  2.65151066e-01
    90  5.11614189e-01  4.28312225e-02  8.15821053e-01  2.66181176e-01
   100  5.11682697e-01  4.26281024e-02  8.15429300e-01  2.67280227e-01
   110  5.11761609e-01  4.23783279e-02  8.15010395e-01  2.68444015e-01
   120  5.11851579e-01  4.20830952e-02  8.14565554e-01  2.69666336e-01
