# inc   q0   q1   q2   q3
     0  6.33095403e-02  1.27633831e-01  2.73054001e-03  9.89794954e-01
    10  6.32293535e-02  1.27436817e-01  3.82579735e-03  9.89821837e-01
    20  6.29325396e-02  1.27418338e-01  5.02767731e-03  9.89837757e-01
    30  6.26689873e-02  1.27444124e-01  6.20312890e-03  9.89844490e-01
    40  6.24275021e-02  1.27490888e-01  7.35728309e-03  9.89845822e-01
    50  6.21967550e-02  1.27542783e-01  8.48911422e-03  9.89844603e-01
    60  6.19719663e-02  1.27590417e-01  9.59700957e-03  9.89842441e-01
    70  6.17547968e-02  1.27629583e-01  1.06792008e-02  9.89839881e-01
    80  6.15503244e-02  1.27655931e-01  1.17339832e-02  9.89837277e-01
    90  6.13618482e-02  1.27667768e-01  1.27599476e-02  9.89834758e-01
   100  6.11914788e-02  1.27665187e-01  1.37578803e-02  9.89832271e-01
   110  6.10392848e-02  1.27649099e-01  1.47284954e-02  9.89829776e-01
   120  6.09038340e-02  1.27621377e-01  1.56722342e-02  9.89827201e-01
