Strain_vM	Stress_vM
1.2819751242557097e-16	2.6202276401857695e-05
0.005959604728785431	82514806.112285
0.012890450226983053	84499717.4847559
0.019833863460628775	85921464.96719512
0.026734712264453536	87087949.713395
0.03357228654760294	88110939.1121008
0.04033617148524129	89055088.12160815
0.0470180232343711	89929956.59926872
0.05361613156021116	90766696.8505048
0.06013628570058588	91547731.44243816
0.06658756565782362	92291998.75371659
0.07297519490485128	93005261.26541759
0.0793043121326658	93693818.1063469
