Strain_vM	Stress_vM
3.700743415417188e-17	1.8319710840445146e-05
0.005576380007999028	103132105.0997963
0.012465594290240458	106348914.10258918
0.019498702114414217	108159532.75018935
0.026591158370669506	109612412.39725444
0.03370427061784592	110943625.14087442
0.040818409078125006	112227658.21752977
0.047931814530543806	113484313.23845156
0.05504647895494234	114711721.82135361
0.062161373863716306	115881647.94463441
0.06927392801098728	116995060.71004629
0.07637900756306368	118050503.7111781
0.08346824483530899	119024117.38929555
