Strain_vM	Stress_vM
1.958249348650736e-16	3.9659748936025665e-05
0.012798754671019512	99010623.65510888
0.027280265074921727	100859154.97286499
0.04145319616085853	102694117.91179144
0.05537597336121939	104590474.59236515
0.06906551694238194	106450474.61641839
0.08254735774652906	108191740.53766556
0.09584775340486552	109814747.35206683
0.1089405413128971	111360366.99741127
0.12179733733666359	112877825.85025184
0.13442844948439028	114377676.91891429
0.14687410034026538	115802139.16718781
0.15916368852035354	117160762.80604175
