Strain_vM	Stress_vM
1.480297366166875e-16	3.1656592697724175e-05
0.008879774913250768	119256907.29458937
0.01852951653536187	124218229.48234454
0.02784259919380743	125857333.55324772
0.036811738834259346	126813819.07347284
0.04545309738851734	127537353.73083016
0.05379085726574445	128147371.68504655
0.06184488815428714	128669866.12624773
0.06964987637825022	129103621.62871109
0.07725557085270895	129504770.20704415
0.08470457490060064	129888876.84830564
0.09202496850938825	130271583.49257381
0.0992443644262366	130701671.77519637
