Strain_vM	Stress_vM
1.480297366166876e-16	1.4217297427033448e-05
0.015891593470679578	86671226.03935823
0.03370947175309122	88519024.48400174
0.05140681453197822	90354803.53487939
0.06895811717235327	92312518.70922604
0.08635404476992314	94375905.99655834
0.10360938414207162	96406390.46954687
0.12074285629424916	98352239.99501784
0.13776332959414278	100275048.93310528
0.15467577244436131	102312532.90756622
0.17147606647088004	104522652.49849851
0.18814558635887485	106634763.9105641
0.2046705293238194	108732036.1859479
