Strain_vM	Stress_vM
9.791246743253672e-17	1.2363087879098956e-05
0.01659614897528152	112734461.77638333
0.03509779492112697	116139302.91771589
0.05342976303733316	118379280.66432883
0.07160813749622515	120431317.43854308
0.08963857302803711	122198235.79603384
0.10752583435913143	123952655.74232377
0.12527506302217586	125675902.8436532
0.14290703175899971	127189955.48185645
0.1604366770445232	128496904.50901435
0.17785539125036193	129632376.11721449
0.19515183920738563	130734998.08829565
0.21231949812910075	131892271.3318743
